STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT21
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-01,4.70,0.00,0.0,0.0,44,57,30,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-02,9.62,0.00,0.0,0.0,46,51,41,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-03,8.95,0.00,0.0,0.0,48,60,35,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-04,9.17,0.00,0.0,0.0,42,52,32,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-05,6.04,0.00,0.0,0.0,46,63,29,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-06,6.26,0.00,0.0,0.0,54,67,40,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-07,3.13,0.00,0.0,0.0,51,70,31,1,,,,,,1,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-08,8.95,0.26,0.0,0.0,58,70,46,1,,,,,,,,,,1,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-09,12.75,0.00,0.0,0.0,48,58,38,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-10,7.38,0.00,0.0,0.0,47,61,32,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-11,5.14,0.00,0.0,0.0,57,71,42,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-12,10.07,0.02,0.0,0.0,63,77,49,1,,,,,,,,,,1,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-13,8.95,0.00,0.0,0.0,56,66,46,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-14,5.59,0.00,0.0,0.0,63,75,50,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-15,3.80,0.00,0.0,0.0,66,78,54,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-16,4.25,0.00,0.0,0.0,67,77,57,1,1,,,,,,,,,1,,,1
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-17,4.25,0.00,0.0,0.0,69,79,58,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-18,5.82,0.00,0.0,0.0,71,83,59,1,1,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-19,10.29,0.00,0.0,0.0,71,85,57,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-20,13.87,0.23,0.0,0.0,56,70,42,1,,1,,,,,,,,1,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-21,9.40,0.00,0.0,0.0,44,55,33,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-22,11.18,0.00,0.0,0.0,51,59,42,,,,,,,,,,,,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-23,12.97,0.01,0.0,0.0,52,63,41,,,,,,,,,,,,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-24,6.71,0.00,0.0,0.0,53,67,39,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-25,10.29,0.00,0.0,0.0,53,64,42,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-26,4.92,0.00,0.0,0.0,51,67,35,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-27,3.80,0.00,0.0,0.0,55,71,39,,,,,,,1,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-28,3.58,0.00,0.0,0.0,59,75,42,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-29,6.26,0.00,0.0,0.0,63,77,49,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-30,11.63,0.00,0.0,0.0,70,79,60,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-01-31,7.16,0.14,0.0,0.0,73,83,63,1,,,,,,,,,,1,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-01,5.59,0.00,0.0,0.0,67,73,61,1,,,,,,1,,,,1,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-02,7.16,0.02,0.0,0.0,61,67,54,1,,,,,,,,,,1,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-03,9.84,0.09,0.0,0.0,55,58,52,1,,,,,,,,,,1,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-04,6.93,0.06,0.0,0.0,56,59,53,1,,,,,,,,,,1,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-05,6.49,0.01,0.0,0.0,55,67,42,1,,,,,,,,,,1,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-06,3.13,0.00,0.0,0.0,55,73,37,1,,,,,,,,,,1,,,1
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-07,6.49,0.00,0.0,0.0,62,77,47,1,,,,,,1,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-08,8.50,0.00,0.0,0.0,65,78,51,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-09,8.95,0.00,0.0,0.0,68,81,55,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-10,4.03,0.00,0.0,0.0,69,84,54,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-11,6.26,0.00,0.0,0.0,70,82,58,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-12,7.61,0.00,0.0,0.0,72,84,60,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-13,7.61,0.00,0.0,0.0,72,82,62,1,1,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-14,5.59,0.00,0.0,0.0,73,83,62,1,1,,,,,,,,,1,,,1
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-15,5.59,0.00,0.0,0.0,73,85,60,1,,,,,,1,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-16,8.50,0.00,0.0,0.0,74,87,61,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-17,10.51,0.02,0.0,0.0,71,82,59,1,,,,,,1,,,,1,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-18,12.53,0.00,0.0,0.0,64,76,52,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-19,10.74,0.00,0.0,0.0,63,77,49,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-20,6.71,0.00,0.0,0.0,67,80,53,1,,,,,,1,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-21,3.58,0.00,0.0,0.0,69,81,56,1,,,,,,1,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-22,5.37,0.00,0.0,0.0,68,82,53,1,1,,,,,1,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-23,8.05,0.00,0.0,0.0,69,78,59,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-24,10.51,0.02,0.0,0.0,72,81,62,1,,,,,,,,,,1,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-25,7.61,0.00,0.0,0.0,75,87,63,,,,,,,,,,,,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-26,5.14,0.00,0.0,0.0,74,86,62,1,,,,,,1,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-27,5.82,0.00,0.0,0.0,75,87,63,1,1,,,,,1,,,,1,,1,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-02-28,8.28,0.00,0.0,0.0,74,85,63,1,,,,,,,,,,1,,,
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",2001-03-01,8.05,0.00,0.0,0.0,74,85,63,1,,,,,,,,,,1,,,
